Brand,Name,Rating,Price,RAM,ROM,Expandable Storage,Screen Size (inch),Screen Size (cm),Rear Cam,Selfie Cam,Battery,Processor,Image Link
POCO,C50,4.3,"5,749",2,32,512,6.52,16.56,8,5,5000,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
POCO,C50,4.3,"5,749",2,32,512,6.52,16.56,8,5,5000,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
POCO,C50,4.1,"6,549",3,32,512,6.52,16.56,8,5,5000,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
SAMSUNG,Galaxy,4.3,"7,499",4,64,1,6.5,16.51,13,5,5000,Mediatek Helio P35 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/7/p/9/-original-imaghgbyypzkzvud.jpeg?q=70
MOTOROLA,G32,4.1,"11,999",8,128,,6.55,16.64,50,16,5000,Qualcomm Snapdragon 680 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/j/j/-original-imagnvvwvzyhfvx9.jpeg?q=70
POCO,C50,4.1,"6,549",3,32,512,6.52,16.56,8,5,5000,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
POCO,C55,4.2,"9,999",6,128,1,6.71,17.04,50,5,5000,Mediatek Helio G85 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
Infinix,SMART,4.2,"7,499",4,64,2,6.6,16.76,13,5,6000,Unisoc Spreadtrum SC9863A1 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70
MOTOROLA,e13,4,"7,749",4,64,1,6.5,16.51,13,5,5000,Unisoc T606 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/i/8/5/-original-imagmmmhmjpfvbry.jpeg?q=70
MOTOROLA,g13,4.2,"9,999",4,128,,6.5,16.51,50,8,5000,Helio G85 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/s/q/e/g13-pawv0027in-motorola-original-imagz4rb7zgfjejf.jpeg?q=70
