Index,Link
1,/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPOKZZYO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBG73E7GKQK4KZP.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBPQ3FU1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBG73E7ZBHHQ3RB.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/samsung-galaxy-f14-5g-b-a-e-purple-128-gb/p/itmdc1c60aa887ff?pid=MOBGNBFNNZER2WZW&lid=LSTMOBGNBFNNZER2WZWDG8CJ0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGNBFNNZER2WZW.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHLGXHUM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBG73E7UBFXXMCH.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/poco-c31-shadow-gray-32-gb/p/itmffefb8bb085e3?pid=MOBG73E7VZH7XHJY&lid=LSTMOBG73E7VZH7XHJYYXFO9I&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBG73E7VZH7XHJY.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/samsung-galaxy-f14-5g-omg-black-128-gb/p/itmae94033406fb2?pid=MOBGNBFNE6KGXCCR&lid=LSTMOBGNBFNE6KGXCCRXLTXS7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGNBFNE6KGXCCR.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/realme-c30-denim-black-32-gb/p/itmfcf69b2db5059?pid=MOBGF37GMBMYRFBK&lid=LSTMOBGF37GMBMYRFBK6OQWPG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGF37GMBMYRFBK.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/realme-c30-lake-blue-32-gb/p/itmfcf69b2db5059?pid=MOBGF37GTRVMRJVK&lid=LSTMOBGF37GTRVMRJVKRYAJNG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGF37GTRVMRJVK.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/realme-c30-bamboo-green-32-gb/p/itmfcf69b2db5059?pid=MOBGF37G7FRK8FBJ&lid=LSTMOBGF37G7FRK8FBJLNLFYW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGF37G7FRK8FBJ.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
1,/realme-c30-denim-black-32-gb/p/itmfcf69b2db5059?pid=MOBGF37G8TGKHFWJ&lid=LSTMOBGF37G8TGKHFWJIST95C&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=378ed603-2b71-4c54-af7a-db1bc4daf3ad.MOBGF37G8TGKHFWJ.SEARCH&ppt=None&ppn=None&ssid=6zpm5h24y80000001680363643187
