Phone name,Rating,Number of ratings,RAM,Storage,Display,Camera,Battery,Processor
"APPLE iPhone 11 (White, 128 GB)",4.6,"1,81,870 Ratings",128 GB RO,128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4.4,"1,17,886 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4.4,"1,17,886 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.1,"15,952 Ratings",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.4,"1,17,886 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor
"APPLE iPhone 14 (Starlight, 128 GB)",4.7,"11,289 Ratings",128 GB RO,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"POCO M4 Pro (Power Black, 128 GB)",4.3,"13,540 Ratings",8 GB RAM ,128 GB ROM,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",4.4,"1,17,886 Ratings",4 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",4.4,"1,17,886 Ratings",4 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor
"vivo T1 44W (Midnight Galaxy, 128 GB)",4.5,"82,814 Ratings",4 GB RAM ,128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
"vivo T1 44W (Starry Sky, 128 GB)",4.5,"82,814 Ratings",4 GB RAM ,128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
"POCO C31 (Shadow Gray, 64 GB)",4.3,"1,95,682 Ratings",4 GB RAM ,64 GB ROM,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor
"APPLE iPhone 14 (Midnight, 128 GB)",4.7,"11,289 Ratings",128 GB RO,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.2,"69,671 Ratings",6 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",4.4,"5,321 Ratings",4 GB RAM ,64 GB ROM,17.32 cm (6.82 inch) HD+ Display,13Mp + AI Lens | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor
"vivo T1 44W (Midnight Galaxy, 128 GB)",4.4,"48,627 Ratings",6 GB RAM ,128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
"POCO M4 Pro (Cool Blue, 128 GB)",4.3,"1,43,730 Ratings",6 GB RAM ,128 GB ROM,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor
"APPLE iPhone 14 (Purple, 128 GB)",4.7,"11,289 Ratings",128 GB RO,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme C33 (Night Sea, 32 GB)",4.4,"17,759 Ratings",3 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
"MOTOROLA G62 5G (Midnight Gray, 128 GB)",4.1,"14,670 Ratings",6 GB RAM ,128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"REDMI Note 11 SE (Cosmic White, 64 GB)",4.3,"36,679 Ratings",6 GB RAM ,64 GB ROM,16.33 cm (6.43 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio G95 Octa Core Processor
"realme C35 (Glowing Black, 64 GB)",4.4,"1,64,253 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 0.3MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery,Unisoc Tiger T616 Processor
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.1,"15,952 Ratings",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"MOTOROLA G62 5G (Frosted Blue, 128 GB)",4.1,"3,041 Ratings",8 GB RAM ,128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 695 5G Processor
Nokia 105 SS,4.2,"28,276 Ratings",32 MB RAM ,32 MB ROM,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,800 mAh Lithium Ion Battery,SC6531E Processor
"POCO M4 Pro (Cool Blue, 64 GB)",4.3,"1,43,730 Ratings",6 GB RAM ,64 GB ROM,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor
"REDMI 9i Sport (Coral Green, 64 GB)",4.3,"2,27,728 Ratings",4 GB RAM ,64 GB ROM,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Li-Polymer Battery,MediaTek Helio G25 Processor
"POCO M4 Pro (Cool Blue, 128 GB)",4.3,"1,43,730 Ratings",6 GB RAM ,128 GB ROM,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor
"MOTOROLA G32 (Mineral Gray, 64 GB)",4.2,"24,479 Ratings",4 GB RAM ,64 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
"MOTOROLA g52 (Charcoal Grey, 64 GB)",4.2,"9,114 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
