Brand,Model Name,Color,Display Size,Resolution,Operating System,Processor,Storage,RAM,Expandable Storage,Primary Camera,Secondary Camera,Connectivity,In Box
SAMSUNG,Galaxy F14 5G,B.A.E. Purple,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 13,"Exynos 1330, Octa Core",128 GB,6 GB,MicroSD,50MP + 2MP,13MP Front Camera,"2G, 3G, 4G, 5G","Handset, Type-C Data Cable, Quick Start Guide, Sim Ejection Pin"
SAMSUNG,Galaxy F14 5G,OMG Black,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 13,"Exynos 1330, Octa Core",128 GB,6 GB,MicroSD,50MP + 2MP,13MP Front Camera,"2G, 3G, 4G, 5G","Handset, Type-C Data Cable, Quick Start Guide, Sim Ejection Pin"
realme,C30,Denim Black,16.51 cm (6.5 inch),1600 x 720 Pixel,Android 11,Unisoc T612,32 GB,3 GB,Dedicated Slot,8MP Rear Camera,"5MP Camera Setup: (SmartSens SC501CS-CRMNN00, f/2.2 Aperture, FOV: 77 Degree, CMOS Sensor, 1/5 inch Sensor Size, 1.12um Pixel Size, 3P Lens, Fixed Focus), Camera Feature: Beauty, filter, HDR","4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool"
realme,C30,Lake Blue,16.51 cm (6.5 inch),1600 x 720 Pixel,Android 11,Unisoc T612,32 GB,2 GB,Dedicated Slot,8MP Rear Camera,"5MP Camera Setup: (SmartSens SC501CS-CRMNN00, f/2.2 Aperture, FOV: 77 Degree, CMOS Sensor, 1/5 inch Sensor Size, 1.12um Pixel Size, 3P Lens, Fixed Focus), Camera Feature: Beauty, filter, HDR","4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool"
realme,C30,Bamboo Green,16.51 cm (6.5 inch),1600 x 720 Pixel,Android 11,Unisoc T612,32 GB,2 GB,Dedicated Slot,8MP Rear Camera,"5MP Camera Setup: (SmartSens SC501CS-CRMNN00, f/2.2 Aperture, FOV: 77 Degree, CMOS Sensor, 1/5 inch Sensor Size, 1.12um Pixel Size, 3P Lens, Fixed Focus), Camera Feature: Beauty, filter, HDR","4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool"
realme,C30,Denim Black,16.51 cm (6.5 inch),1600 x 720 Pixel,Android 11,Unisoc T612,32 GB,2 GB,Dedicated Slot,8MP Rear Camera,"5MP Camera Setup: (SmartSens SC501CS-CRMNN00, f/2.2 Aperture, FOV: 77 Degree, CMOS Sensor, 1/5 inch Sensor Size, 1.12um Pixel Size, 3P Lens, Fixed Focus), Camera Feature: Beauty, filter, HDR","4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool"
POCO,C55,Cool Blue,17.04 cm (6.71 inch),1650 x 720 Pixels,Android 12,Mediatek Helio G85,64 GB,4 GB,MicroSD,50MP Rear Camera,"5MP Front Camera: Camera Features: Portrait Mode, HDR, Front Video Recording, Palm Shutter, Voice Shutter, Movie Frame, Timelapse","4G VOLTE, 4G, 3G, 2G","Handset, 10W Charger, Micro USB Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
realme,C30,Bamboo Green,16.51 cm (6.5 inch),1600 x 720 Pixel,Android 11,Unisoc T612,32 GB,3 GB,Dedicated Slot,8MP Rear Camera,"5MP Camera Setup: (SmartSens SC501CS-CRMNN00, f/2.2 Aperture, FOV: 77 Degree, CMOS Sensor, 1/5 inch Sensor Size, 1.12um Pixel Size, 3P Lens, Fixed Focus), Camera Feature: Beauty, filter, HDR","4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool"
realme,C30,Lake Blue,16.51 cm (6.5 inch),1600 x 720 Pixel,Android 11,Unisoc T612,32 GB,3 GB,Dedicated Slot,8MP Rear Camera,"5MP Camera Setup: (SmartSens SC501CS-CRMNN00, f/2.2 Aperture, FOV: 77 Degree, CMOS Sensor, 1/5 inch Sensor Size, 1.12um Pixel Size, 3P Lens, Fixed Focus), Camera Feature: Beauty, filter, HDR","4G VOLTE, 4G, 3G, 2G","Handset, Adapter, USB Cable, Important Info Booklet with Warranty Card, Quick Guide, Sim Card Tool"
POCO,M4 Pro,Cool Blue,16.33 cm (6.43 inch),2400 x 1080 Pixels,Android 11,Mediatek Helio G96,128 GB,6 GB,MicroSD,64MP + 8MP + 2MP,"16MP Camera Setup: (f/2.45 Aperture, Pixel Size: 1.0um), Camera Feature: HDR, AI Portrait Mode, Screen Flash, Selfie Timer, Portrait Selfies, Palm shutter","4G, 3G, 2G","Handset, 33W Power Adapter, USB Type A-C Cable, Sim Ejector Tool, Transparent Case, Pre-Applied Screen Protector, User Guide, Warranty Card"
POCO,C55,Cool Blue,17.04 cm (6.71 inch),1650 x 720 Pixels,Android 12,Mediatek Helio G85,128 GB,6 GB,MicroSD,50MP Rear Camera,"5MP Front Camera: Camera Features: Portrait Mode, HDR, Front Video Recording, Palm Shutter, Voice Shutter, Movie Frame, Timelapse","4G VOLTE, 4G, 3G, 2G","Handset, 10W Charger, Micro USB Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
MOTOROLA,e13,Aurora Green,16.51 cm (6.5 inch),1600 x 720 Pixels,Android 13 (Go Edition),Unisoc T606,64 GB,4 GB,MicroSD,13MP Rear Camera,"5MP Front Camera Setup: (f/2.2 Aperture, 1.12um Pixel Size), Camera Feature: Portrait, Photo, Face Beauty, Auto Smile Capture, HDR, Leveler, Mirror, Assistive Grid, Watermark, Timer, Video Feature: Video, Timelapse, Snap in Video Recording","4G, 3G, 2G","Handset, 10W Charger, USB Type-C Cable, Guides, Sim Tool, Transparent Protective Case"
SAMSUNG,Galaxy F14 5G,GOAT Green,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 13,"Exynos 1330, Octa Core",128 GB,4 GB,MicroSD,50MP + 2MP,13MP Front Camera,"2G, 3G, 4G, 5G","Handset, Type-C Data Cable, Quick Start Guide, Sim Ejection Pin"
POCO,M4 5G,Power Black,16.71 cm (6.58 inch),2400 x 1080 Pixels,Android 12,Mediatek Dimensity 700,64 GB,4 GB,MicroSD,50MP + 2MP,"8MP Camera Setup: (f/2.45 Aperture, 1.0um Pixel Size), Camera Feature: Portrait, HDR, Timed Burst, AI Beauty Mode, AI Filters, Movie Frame, Palm Shutter","5G, 4G, 3G, 2G","Handset, 22.5 W Power Adapter, USB Type A-C Cable, Sim Ejector Tool, Transparent Case, Pre-Applied Screen Protector, User Guide, Warranty Card"
POCO,C55,Power Black,17.04 cm (6.71 inch),1650 x 720 Pixels,Android 12,Mediatek Helio G85,64 GB,4 GB,MicroSD,50MP Rear Camera,"5MP Front Camera: Camera Features: Portrait Mode, HDR, Front Video Recording, Palm Shutter, Voice Shutter, Movie Frame, Timelapse","4G VOLTE, 4G, 3G, 2G","Handset, 10W Charger, Micro USB Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
POCO,M4 5G,Cool Blue,16.71 cm (6.58 inch),2400 x 1080 Pixels,Android 12,Mediatek Dimensity 700,64 GB,4 GB,MicroSD,50MP + 2MP,"8MP Camera Setup: (f/2.45 Aperture, 1.0um Pixel Size), Camera Feature: Portrait, HDR, Timed Burst, AI Beauty Mode, AI Filters, Movie Frame, Palm Shutter","5G, 4G, 3G, 2G","Handset, 22.5 W Power Adapter, USB Type A-C Cable, Sim Ejector Tool, Transparent Case, Pre-Applied Screen Protector, User Guide, Warranty Card"
Infinix,SMART 7,Emerald Green,16.76 cm (6.6 inch),1612 x 720 Pixels,Android 12,Unisoc Spreadtrum SC9863A1,64 GB,4 GB,MicroSD,13MP + AI Lens,"5MP Front Camera: Camera Features: AI Portrait, Face Beauty, Wideselfie, Video Features: HD Video Recording","4G, 3G, 2G","Handset, Adaptor, USB Type-C Cable, TPU Case, Sim Ejector Pin, Quick Start Guide, Warranty Card, Xclub Card"
Infinix,SMART 7,Night Black,16.76 cm (6.6 inch),1612 x 720 Pixels,Android 12,Unisoc Spreadtrum SC9863A1,64 GB,4 GB,MicroSD,13MP + AI Lens,"5MP Front Camera: Camera Features: AI Portrait, Face Beauty, Wideselfie, Video Features: HD Video Recording","4G, 3G, 2G","Handset, Adaptor, USB Type-C Cable, TPU Case, Sim Ejector Pin, Quick Start Guide, Warranty Card, Xclub Card"
Infinix,SMART 7,Azure Blue,16.76 cm (6.6 inch),1612 x 720 Pixels,Android 12,Unisoc Spreadtrum SC9863A1,64 GB,4 GB,MicroSD,13MP + AI Lens,"5MP Front Camera: Camera Features: AI Portrait, Face Beauty, Wideselfie, Video Features: HD Video Recording","4G, 3G, 2G","Handset, Adaptor, USB Type-C Cable, TPU Case, Sim Ejector Pin, Quick Start Guide, Warranty Card, Xclub Card"
Nokia,105 SS,Charcoal,4.5 cm (1.77 inch),160 x 128 Pixels,Symbian,SC6531E,32 MB,32 MB,MicroSD,No,Yes,2G,"Handset, Battery, Charger, User Guide"
SAMSUNG,Galaxy F04,Jade Purple,16.51 cm (6.5 inch),1600 x 720 Pixels,Android 12,Mediatek Helio P35,64 GB,4 GB,1 TB,13MP + 2MP,5MP Front Camera,"4G, 3G, 2G","Handset, USB Cable, Adaptor, Ejection Pin, Manual"
SAMSUNG,Galaxy F13,Waterfall Blue,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Exynos 850,64 GB,4 GB,MIcroSD,50MP + 5MP + 2MP,8MP Front Camera,"4G, 3G, 2G","Handset, Travel Adapter, Data Cable (A to C), Ejection Pin, Quick Start Guide"
OPPO,A17k,Blue,16.66 cm (6.56 inch),1612 x 720 Pixels,Android 12,Mediatek Helio P35,64 GB,3 GB,MicroSD,8MP Rear Camera,"5MP Front Camera Setup: (Galaxycore GC5035, 1/5 inch Sensor Size, 1.12um Pixel Size, f/2.2 Aperture, FOV: 76.8 Degree, 3P Lens, Equivalent Focal Length: 27 mm, Effective Focal Length: 2.25 mm), Camera Feature: Photo, Video, Panorama, Portrait, Timelapse, CMOS","4G VOLTE, 4G, 3G, 2G","Handset, Charger, Micro USB Data Cable, Sim Ejector Tool, Safety Guide, Quick Guide, TPU Protective Case"
MOTOROLA,G62 5G,Frosted Blue,16.64 cm (6.55 inch),2400 x 1080 Pixels,Android 12,Qualcomm Snapdragon 695 5G,128 GB,6 GB,Hybrid Slot,50MP + 8MP + 2MP,"16MP Camera Setup: Camera Feature: Camera Feature: Dual Capture, Spot Color, Night Vision, Cinemograph, Portrait, Live Filter, Group Selfie, Pro Mode (W/ Long Exposure), Artificial Intelligence: Low Light AI Selfie, Shot Optimization, Auto Smile Capture, Gesture Capture, Other Features: Selfie Animation, Face Beauty, RAW Photo Output, HDR, Timer, Active Photos, Assistive Grid, Leveler, Watermark, Burst Shot, Video Feature: Dual Capture, Spot Color, Timelapse (W/ Hyperlapse), Slow Motion, Other Features: Video Stabilization, Face Beauty, Video Snapshot","5G, 4G, 3G, 2G","Handset, Charger, USB Cable, Guides, Sim Tool, Protective Cover"
